ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,quantidade_vinculos_clt,quantidade_vinculos_estatutarios,natureza_estabelecimento,natureza_juridica,tamanho_estabelecimento,tipo_estabelecimento,indicador_cei_vinculado,indicador_pat,indicador_simples,indicador_rais_negativa,indicador_atividade_ano,cnae_1,cnae_2,cnae_2_subclasse,subsetor_ibge,subatividade_ibge,cep,bairros_sp,distritos_sp,bairros_fortaleza,bairros_rj,regioes_administrativas_df,nome_municipio
2021,SP,3540606,0,0,0,,4081,1,1,0,0,0,1,0,01139,01130,0113000,25,,18540000,9999,9999,,,,Porto Feliz
2021,SP,3502804,0,0,0,,4120,1,1,0,0,0,1,0,01155,01156,0115600,25,,16129899,9999,9999,,,,Araçatuba
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01155,01156,0115600,25,,18200010,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01155,01156,0115600,25,,18200970,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4120,1,1,0,0,1,1,1,01155,01156,0115600,25,,18200970,9999,9999,,,,Itapetininga
2021,SP,3507001,0,0,0,,4120,1,1,0,0,0,1,1,01155,01156,0115600,25,,18550000,9999,9999,,,,Boituva
2021,SP,3511508,0,0,0,,4120,1,1,0,0,0,1,1,01155,01156,0115600,25,,18520000,9999,9999,,,,Cerquilho
2021,SP,3528007,0,0,0,,4081,1,3,0,0,0,0,1,01198,01164,0116401,25,,99999999,9999,9999,,,,Macatuba
2021,SP,3502903,0,0,0,,4081,1,1,0,0,0,1,0,01198,01164,0116499,25,,18190000,9999,9999,,,,Araçoiaba da Serra
2021,SP,3537800,0,0,0,,4022,1,1,0,0,0,1,1,01198,01164,0116499,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01199,0119902,25,,18170000,9999,9999,,,,Piedade
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01198,01199,0119903,25,,18200999,9999,9999,,,,Itapetininga
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01199,0119904,25,,18170000,9999,9999,,,,Piedade
